"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"전국","남자","계","주민등록연앙인구","","25339502.5",
"전국","남자","0세","주민등록연앙인구","","125008.5",
"전국","남자","1세","주민등록연앙인구","","122387.5",
"전국","남자","2세","주민등록연앙인구","","125280.5",
"전국","남자","3세","주민등록연앙인구","","133713",
"전국","남자","4세","주민등록연앙인구","","140198",
"전국","남자","5세","주민등록연앙인구","","151221.5",
"전국","남자","6세","주민등록연앙인구","","165291.5",
"전국","남자","7세","주민등록연앙인구","","179545.5",
"전국","남자","8세","주민등록연앙인구","","199668.5",
"전국","남자","9세","주민등록연앙인구","","219779.5",
"전국","남자","10세","주민등록연앙인구","","226910.5",
"전국","남자","11세","주민등록연앙인구","","225978.5",
"전국","남자","12세","주민등록연앙인구","","238670",
"전국","남자","13세","주민등록연앙인구","","247643.5",
"전국","남자","14세","주민등록연앙인구","","243950.5",
"전국","남자","15세","주민등록연앙인구","","236980",
"전국","남자","16세","주민등록연앙인구","","235260.5",
"전국","남자","17세","주민등록연앙인구","","246978",
"전국","남자","18세","주민등록연앙인구","","242210.5",
"전국","남자","19세","주민등록연앙인구","","227238.5",
"전국","남자","20세","주민등록연앙인구","","233630",
"전국","남자","21세","주민등록연앙인구","","248503",
"전국","남자","22세","주민등록연앙인구","","254639",
"전국","남자","23세","주민등록연앙인구","","271829",
"전국","남자","24세","주민등록연앙인구","","309204",
"전국","남자","25세","주민등록연앙인구","","324929",
"전국","남자","26세","주민등록연앙인구","","325034",
"전국","남자","27세","주민등록연앙인구","","337030.5",
"전국","남자","28세","주민등록연앙인구","","349662.5",
"전국","남자","29세","주민등록연앙인구","","362790",
"전국","남자","30세","주민등록연앙인구","","372617.5",
"전국","남자","31세","주민등록연앙인구","","374312",
"전국","남자","32세","주민등록연앙인구","","375563.5",
"전국","남자","33세","주민등록연앙인구","","370778.5",
"전국","남자","34세","주민등록연앙인구","","349739",
"전국","남자","35세","주민등록연앙인구","","330287",
"전국","남자","36세","주민등록연앙인구","","323988.5",
"전국","남자","37세","주민등록연앙인구","","317932",
"전국","남자","38세","주민등록연앙인구","","317193.5",
"전국","남자","39세","주민등록연앙인구","","326429.5",
"전국","남자","40세","주민등록연앙인구","","332781",
"전국","남자","41세","주민등록연앙인구","","355537",
"전국","남자","42세","주민등록연앙인구","","394551.5",
"전국","남자","43세","주민등록연앙인구","","417350.5",
"전국","남자","44세","주민등록연앙인구","","420638",
"전국","남자","45세","주민등록연앙인구","","414441.5",
"전국","남자","46세","주민등록연앙인구","","387608",
"전국","남자","47세","주민등록연앙인구","","374467.5",
"전국","남자","48세","주민등록연앙인구","","382329",
"전국","남자","49세","주민등록연앙인구","","385233",
"전국","남자","50세","주민등록연앙인구","","408007",
"전국","남자","51세","주민등록연앙인구","","431701.5",
"전국","남자","52세","주민등록연앙인구","","440563.5",
"전국","남자","53세","주민등록연앙인구","","455268.5",
"전국","남자","54세","주민등록연앙인구","","458468",
"전국","남자","55세","주민등록연앙인구","","450301",
"전국","남자","56세","주민등록연앙인구","","448218",
"전국","남자","57세","주민등록연앙인구","","427843",
"전국","남자","58세","주민등록연앙인구","","407948",
"전국","남자","59세","주민등록연앙인구","","407192.5",
"전국","남자","60세","주민등록연앙인구","","404421",
"전국","남자","61세","주민등록연앙인구","","392257.5",
"전국","남자","62세","주민등록연앙인구","","403385.5",
"전국","남자","63세","주민등록연앙인구","","426265",
"전국","남자","64세","주민등록연앙인구","","428326.5",
"전국","남자","65세","주민등록연앙인구","","411030.5",
"전국","남자","66세","주민등록연앙인구","","377858",
"전국","남자","67세","주민등록연앙인구","","358868.5",
"전국","남자","68세","주민등록연앙인구","","335543",
"전국","남자","69세","주민등록연앙인구","","316896.5",
"전국","남자","70세","주민등록연앙인구","","295502",
"전국","남자","71세","주민등록연앙인구","","250894",
"전국","남자","72세","주민등록연앙인구","","239405",
"전국","남자","73세","주민등록연앙인구","","213716.5",
"전국","남자","74세","주민등록연앙인구","","182424",
