학교명,주소,위도,경도
Branksome Hall Asia,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234,33.28997179,126.2872649
KIS High School,제주특별자치도 서귀포시 글로벌에듀로 260번길 8,33.28864617,126.28722
NLCS JeJu,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 33,33.29684267,126.2918094
가곡고등학교,강원도 삼척시 가곡면 가곡천로 1427,37.14634584,129.2048269
가락고등학교,서울특별시 송파구 송이로 42,37.50107579,127.1164258
가림고등학교,인천광역시 서구 원적로 58,37.49261929,126.6812015
가야고등학교,부산광역시 부산진구 엄광로 152,35.14630264,129.0310877
가온고등학교,경기도 안성시 샛터길 46,36.98842094,127.2760218
가운고등학교,경기도 남양주시 가운로2길 115,37.59944721,127.160699
가은고등학교,경상북도 문경시 가은읍 가은로 205,36.64547535,128.0711654
가재울고등학교,서울특별시 서대문구 수색로 100-35,37.57444587,126.9094148
가정고등학교,인천광역시 서구 서달로 162,37.51351681,126.6797187
가좌고등학교,경기도 고양시 일산서구 가좌1로 43,37.68802952,126.7201873
가좌고등학교,인천광역시 서구 장고개로287번길 24,37.48964618,126.6809097
가평고등학교,경기도 가평군 가평읍 호반로 2601,37.81828429,127.5130855
간동고등학교,강원도 화천군 간동면 파로호로 945-21,38.0563712,127.7915913
간디고등학교,경상남도 산청군 신안면 둔철산로 210,35.35849956,127.9445919
갈매고등학교,경기도 구리시 갈매순환로 75,37.627385,127.1176504
갈산고등학교,충청남도 홍성군 갈산면 상촌로9번길 39,36.60486517,126.5478105
감일고등학교,경기도 하남시 감일순환로 165,37.50955328,127.1599264
갑천고등학교,강원도 횡성군 갑천면 갑천로 17,37.56069062,128.1143746
강경고등학교,충청남도 논산시 강경읍 계백로 188,36.1596285,127.0198871
강경상업고등학교,충청남도 논산시 강경읍 계백로 220,36.16142445,127.023298
강구정보고등학교,경상북도 영덕군 강구면 신강구1길 45-5,36.35361053,129.3803591
강남영상미디어고등학교,인천광역시 강화군 길상면 강화남로 57,37.64167363,126.4791248
강동고등학교,대구광역시 동구 금강로 65,35.86598296,128.7296127
강동고등학교,울산광역시 북구 화암4길 8,35.63275915,129.435202
강동고등학교,서울특별시 강동구 구천면로 572,37.54991665,127.1606683
강릉고등학교,강원도 강릉시 강릉대로587번길 68,37.78891804,128.9159872
강릉명륜고등학교,강원도 강릉시 율곡로 2920-8,37.76314126,128.8938677
강릉문성고등학교,강원도 강릉시 지변길 158,37.77563062,128.8700327
강릉여자고등학교,강원도 강릉시 용지로 107,37.75965121,128.9034321
강릉정보공업고등학교,강원도 강릉시 주문진읍 학교길 26,37.88054161,128.8307453
강릉제일고등학교,강원도 강릉시 화부산로8번길 37,37.76013262,128.8897642
강릉중앙고등학교,강원도 강릉시 강변로 422,37.75736497,128.9150334
강북고등학교,대구광역시 북구 태전로 100,35.92972817,128.5412228
강서고등학교,서울특별시 양천구 목동중앙남로 27,37.53631557,126.8657711
강서공업고등학교,서울특별시 강서구 방화대로47길 9,37.57603409,126.8161817
강원고등학교,강원도 춘천시 동면 장학길 24,37.89496596,127.7564189
강원과학고등학교,강원도 원주시 치악로 2242,37.37542765,127.9731977
강원대학교사범대학부설고등학교,강원도 춘천시 서부대성로 257,37.87343185,127.7475973
강원생활과학고등학교,강원도 홍천군 남면 새작들길 11,37.60888472,127.7701243
강원애니고등학교,강원도 춘천시 서면 박사로 1025,37.90616461,127.7004387
강원예술고등학교,강원도 강릉시 구정면 칠봉로 670-34,37.72193969,128.8645411
강원외국어고등학교,강원도 양구군 양구읍 금강산로 437-12,38.11982808,127.9905164
강원체육고등학교,강원도 춘천시 자라우새길 126,37.85912229,127.694804
강일고등학교,서울특별시 강동구 아리수로98길 40,37.5638281,127.1779035
